number,name,addressStreet,addressParcel
3992,복권명당(서변점),대구 북구 서변로 91,대구 북구 서변동 1739-12번지
3993,복권천국,대구 북구 연암로 143-2,대구 북구 산격동 801-4번지
3994,복권왕국,대구 북구 칠곡중앙대로 632,대구 북구 읍내동 393번지
3995,로또복권,대구 북구 대현로 74,대구 북구 대현동 403-1번지
3996,복권명당,대구 서구 국채보상로 419,대구 서구 비산동 151-28번지
3997,복권명당,대구 서구 팔달로 84,대구 서구 비산동 1382-2
3998,복권나라,대구 서구 와룡로 318,대구 서구 중리동 1157번지
3999,운수대통,대구 서구 서대구로62길 71,대구 서구 비산동 1240-16번지
4000,로또명당,대구 수성구 수성로 303,대구 수성구 수성동1가 305-6번지
4001,포에니복권,대구 수성구 청수로 172,대구 수성구 지산동 932
4002,복권명당,대구 수성구 천을로 180,대구 수성구 매호동 1040번지
4003,수성복권(미니마트),대구 수성구 시지로1길 29,대구 수성구 시지동 253-3
4004,씨스페이드(수성점),대구 수성구 들안로 165,대구 수성구 중동 133-3
4005,로또명당,대구 남구 현충로 203,대구 남구 대명동 2148-6번지
4006,로또명당,대구 남구 명덕로 322,대구 남구 이천동 200-13
4007,복권천국,대구 남구 대명로 269-3,대구 남구 대명동 207-3
4008,오케이할인마트,대구 남구 대명로 234-2,대구 남구 대명동 332-6번지
4009,대림서점,대구 남구 중앙대로 158,대구 남구 봉덕동 1010-4
4010,이솝비디오대여점,대구 남구 명덕로 228-30,대구 남구 이천동 639-8번지
4011,복을주는집,대구 달서구 당산로 193,대구 달서구 감삼동 106-3번지
4012,이마트편의점(달서송현),대구 달서구 송현로 32,대구 달서구 송현동 1949-36
4013,복권천국(성서점),대구 달서구 성서로 377,대구 달서구 이곡동 1000-266번지
4014,emart24대구월배역점,대구 달서구 월배로 152,대구 달서구 진천동 117-19
4015,LA24시편의점,대구 달서구 달구벌대로 1005,대구 달서구 호산동 293-2번지
4016,이마트24시혁신원룸점,대구 동구 이노밸리로42길 10-24,대구 동구 각산동 1089
4017,고향편의점복권방,대구 북구 매천로17길 3,대구 북구 매천동 540-11번지
4018,LETS GO 25,대구 북구 경진로1길 41,대구 북구 복현동 425-10번지
4019,씨스페이스(수성3가점),대구 수성구 명덕로 442-3,대구 수성구 수성동3가 332번지
4020,동인마트,대구 중구 태평로 266,대구 중구 동인동3가 271-142번지
4021,일공공일복권방,인천 서구 가정로 289,인천 서구 석남동 479-11번지
4022,솔드아웃(용현점),인천 미추홀구 독배로 390-1,인천 미추홀구 용현동 344-9
4023,복권판매점,인천 남동구 경인로 595,인천 남동구 간석동 269-4
4024,복권마트,인천 남동구 용천로 122-1,인천 남동구 구월동 7-65번지
4025,한빛마트,인천 연수구 먼우금로 123 동춘마을아파트,인천 연수구 동춘동 921
4026,대농슈퍼,인천 미추홀구 길파로28번길 4,인천 미추홀구 주안동 15-2
4027,세븐일레븐인천인하대점,인천 미추홀구 한나루로477번길 78,인천 미추홀구 용현동 79-12
